"region","excess.lwr","excess","excess.upr","population"
"Alabama",519.374951759547,755.712041987954,983.782220657381,4728915
"Arizona",394.133565298338,521.407829234883,644.94336156268,8456448
"Arkansas",351.931512091128,594.615292300465,830.013309504973,3060219
"California",305.243998571508,381.139327305435,454.814767393921,42206743
"Colorado",207.653460486881,371.451000222543,530.496411445865,5278867
"Connecticut",95.5701712622258,299.873192597708,496.297933698802,3675650
"Florida",343.474522595729,435.24171293882,526.213630600869,23406525
"Georgia",356.708835031562,471.606141938552,583.684449470585,10843753
"Illinois",233.931064493319,337.294239307678,438.894605310077,13236720
"Indiana",234.2648447082,400.480818564005,561.584881140931,6627008
"Iowa",-34.4711597035718,215.179780878792,456.852947330505,3020496
"Kansas",55.4865379306337,298.325220345714,534.534585959982,2890566
"Kentucky",372.243346093543,579.130411975476,780.53257017682,4424431
"Louisiana",373.257105078022,569.86863510247,760.690461861857,4719160
"Maryland",194.345596376277,338.491016570887,478.77794135889,6497626
"Massachusetts",100.352327881689,248.980815367257,394.909464541555,6855546
"Michigan",137.144115558041,264.423349154267,389.07350631213,10695993
"Minnesota",15.7585392683564,173.531984212585,325.656283104795,5900769
"Mississippi",316.138566190622,570.69468776431,814.900066079613,3044812
"Missouri",203.370806089535,377.776995975664,547.967687126949,6199882
"Nevada",265.905199544765,464.424504956554,656.904431067789,3452283
"New Jersey",267.805458570321,387.686476212642,504.789341377045,9461635
"New York",319.45155315545,414.261563463981,506.547122836483,19576920
"Ohio",369.430700190604,520.960378406636,668.618921341684,11644058
"Oklahoma",339.905077776796,564.374270352377,782.88348337255,3735690
"Oregon",92.5671645784791,288.059533342237,477.12206362183,4260393
"Pennsylvania",321.354793180825,449.718055132482,575.211846015994,12787354
"South Carolina",350.596786738708,549.765106267324,743.713889897455,4822577
"Tennessee",341.835688803614,514.903903473172,684.360837498359,6780670
"Texas",376.067107071037,454.663734663611,531.772579163549,28634896
"United States",343.048180087872,411.453330494944,478.354165474726,334503458
"Virginia",194.828758847175,321.244698982711,444.415381397819,8917395
"Washington",110.66535919149,249.727037365842,384.589975210357,7432136
"Wisconsin",-76.8273995104708,277.922251504758,602.359734978819,6004954
