"region","excess.lwr","excess","excess.upr","population"
"Alabama",-23.0290669212705,22.6356951024459,63.0170980023959,4728915
"Arizona",-26.7254644030212,1.57603174471413,26.4895497494929,8456448
"Arkansas",-48.7554975640632,8.52551404484911,57.1535893346195,3060219
"California",-3.4121325116226,9.53801106089537,21.9281312467062,42206743
"Colorado",-26.4275459108934,9.0674002121103,39.4791154995949,5278867
"Connecticut",-15.3183790622067,19.1231378656817,47.2576279025479,3675650
"Florida",1.86262164076043,15.1989416047525,27.5138022410418,23406525
"Georgia",6.01244790433718,28.3259685233789,48.6090931801932,10843753
"Illinois",-4.00439081585166,14.965548973667,32.05552432929,13236720
"Indiana",-18.9531233401257,10.7720448512503,37.1668481462524,6627008
"Iowa",-40.4908664007501,9.83337749224828,52.4094387147012,3020496
"Kansas",-27.1573110594949,14.8901711609125,48.2950397949744,2890566
"Kentucky",-23.1442189967478,13.1299658430301,44.0745939986407,4424431
"Louisiana",-17.0167995999288,22.8588413511992,57.4901041710813,4719160
"Maryland",-5.78749838787273,13.4560160105407,29.3033948091195,6497626
"Massachusetts",-13.9452787567905,9.29580321273771,29.1297002456114,6855546
"Michigan",-19.6433374629172,6.30142598508805,29.899748438504,10695993
"Minnesota",-30.5049223245309,4.40684826545411,35.2335432890188,5900769
"Mississippi",-35.6688688825451,22.6027788967868,71.8615796311891,3044812
"Missouri",-75.0510251646725,-31.7574576755574,6.35657259283322,6199882
"Nevada",-16.3080489056083,17.2062512440279,44.05780175032,3452283
"New Jersey",-11.7632946102867,9.23199435015121,27.786423805188,9461635
"New York",-23.4003867819861,-8.39791376040714,4.96030529827981,19576920
"Ohio",-9.71375271404521,15.0662435810445,37.7965310718995,11644058
"Oklahoma",-39.8875442020082,6.48168342981306,46.4171277595304,3735690
"Oregon",-46.6400634871008,0.20843614486971,40.842476269208,4260393
"Pennsylvania",-12.7004382611133,8.11457238493529,26.9647262443818,12787354
"South Carolina",-4.74901696748439,32.8616089188999,66.0642639816845,4822577
"Tennessee",-16.6358929132372,16.1896949095414,45.5124641075292,6780670
"Texas",2.01441276406243,16.4222977014442,30.0301422432266,28634896
"United States",5.89517074588808,11.3370058735458,16.5912485125939,334503458
"Virginia",-11.9878058558581,10.8106712639191,31.0404552002014,8917395
"Washington",-39.3033039223179,-2.8190298336338,29.8433720803817,7432136
"Wisconsin",-27.3944646370314,7.16274002756159,37.4528264496281,6004954
