"region","excess.lwr","excess","excess.upr","population"
"Alabama",-35.4869986032736,50.8709403155801,132.441585437674,4728915
"Arizona",-64.9460033337874,-4.97416031479506,51.4755131232404,8456448
"Arkansas",-79.9305539897635,28.085602420363,129.011191682687,3060219
"California",-17.3841298296815,7.29467677194087,31.2230323007866,42206743
"Colorado",-52.1144025791898,19.9231461398691,87.5012573720838,5278867
"Connecticut",-63.0119842748901,28.4743525921232,113.286765606083,3675650
"Florida",-43.8901118384724,-3.92982437067222,34.6154544512695,23406525
"Georgia",-65.9653996176416,-12.139777518625,39.9972223638808,10843753
"Illinois",-56.1177542472757,-7.00007566047935,39.7998900029615,13236720
"Indiana",-78.890805624499,-3.68831140261316,67.935258264363,6627008
"Iowa",-116.340991678188,-4.6718791621867,98.924150205794,3020496
"Kansas",-152.290243502484,-39.4734473278773,64.7286725160401,2890566
"Kentucky",-45.7250887176226,46.6824732054642,133.645433729219,4424431
"Louisiana",-112.35262207681,-20.8603407031778,64.3128226209749,4719160
"Maryland",-74.1970990635657,-5.78515181476006,58.776851730155,6497626
"Massachusetts",-65.2482676069856,4.11618278130537,69.5940192072229,6855546
"Michigan",-75.338026118753,-16.5930957244498,39.4928268932113,10695993
"Minnesota",-66.3146616991785,6.59402448992292,74.703822501779,5900769
"Mississippi",-123.98548744553,-7.46750079623676,99.3829832515111,3044812
"Missouri",-84.051599691736,-4.37508120186538,70.8416708576067,6199882
"Nevada",-102.689292853454,-10.0379202579657,75.1401319069149,3452283
"New Jersey",-41.1776083097689,12.593602436193,64.0494481133546,9461635
"New York",-33.5248088054709,4.5657415036595,41.4429338220721,19576920
"Ohio",-34.7151310994844,20.6299849875742,73.9357790900732,11644058
"Oklahoma",-114.865660694544,-10.0004606057173,87.9375697662279,3735690
"Oregon",-79.3142792225975,11.8200260278397,96.8948169804992,4260393
"Pennsylvania",-41.8165087163458,12.2026310928789,63.9624116138491,12787354
"South Carolina",-80.9131715263437,9.0852828203895,93.3945689203096,4822577
"Tennessee",-51.3094576199697,22.6058645252691,93.3123127950483,6780670
"Texas",-33.938223487873,-2.71257829598132,27.5613887335229,28634896
"United States",-5.73201099762621,4.04270196084051,13.7007776463704,334503458
"Virginia",-49.9935799636553,8.48528525396427,64.202606254405,8917395
"Washington",-65.3940536071998,0.717657859115889,63.0397506181265,7432136
"Wisconsin",-79.8694711066895,-3.61785594333134,67.8947748808734,6004954
