"region","excess.lwr","excess","excess.upr","population"
"Alabama",318.253764341292,381.08218225839,438.136443560521,4728915
"Arizona",288.926272591045,320.022821123285,348.278910956468,8456448
"California",197.186027834462,215.247741865209,231.821074182388,42206743
"Florida",261.713026602625,283.538879087718,304.188896045013,23406525
"Georgia",243.614457098018,275.729142029333,305.309425620447,10843753
"Illinois",207.210887591488,234.984977066923,260.865796058238,13236720
"Indiana",255.543678233073,305.991333081511,352.210605449699,6627008
"Michigan",205.066046696179,241.98910249156,276.346478536401,10695993
"Missouri",256.90730888104,301.058988535387,341.507306106794,6199882
"New Jersey",266.665592151885,308.088786122973,344.095655771968,9461635
"New York",257.725040506883,335.129495757438,395.527743894341,19576920
"Ohio",295.764586538473,330.433321549841,362.537270082303,11644058
"Pennsylvania",300.608710762211,330.070966267863,357.89284475897,12787354
"Tennessee",324.730078296098,371.654801212144,415.299299331777,6780670
"Texas",291.62634290692,309.463687745962,326.416848170149,28634896
"United States",262.66757607032,274.852285037469,286.366195054402,334503458
"Virginia",145.477743219853,181.93881038196,215.276434429562,8917395
