region,date,government_response_index
United States,1/1/20,0.00
United States,1/2/20,0.00
United States,1/3/20,0.00
United States,1/4/20,0.00
United States,1/5/20,0.00
United States,1/6/20,0.00
United States,1/7/20,0.00
United States,1/8/20,0.00
United States,1/9/20,0.00
United States,1/10/20,0.00
United States,1/11/20,0.00
United States,1/12/20,0.00
United States,1/13/20,0.00
United States,1/14/20,0.00
United States,1/15/20,0.00
United States,1/16/20,0.00
United States,1/17/20,0.00
United States,1/18/20,0.00
United States,1/19/20,0.00
United States,1/20/20,0.00
United States,1/21/20,5.21
United States,1/22/20,5.21
United States,1/23/20,5.21
United States,1/24/20,5.21
United States,1/25/20,5.21
United States,1/26/20,5.21
United States,1/27/20,8.33
United States,1/28/20,5.21
United States,1/29/20,5.21
United States,1/30/20,5.21
United States,1/31/20,5.21
United States,2/1/20,5.21
United States,2/2/20,5.21
United States,2/3/20,5.21
United States,2/4/20,5.21
United States,2/5/20,5.21
United States,2/6/20,5.21
United States,2/7/20,5.21
United States,2/8/20,5.21
United States,2/9/20,5.21
United States,2/10/20,5.21
United States,2/11/20,5.21
United States,2/12/20,5.21
United States,2/13/20,5.21
United States,2/14/20,5.21
United States,2/15/20,5.21
United States,2/16/20,5.21
United States,2/17/20,5.21
United States,2/18/20,5.21
United States,2/19/20,5.21
United States,2/20/20,5.21
United States,2/21/20,5.21
United States,2/22/20,5.21
United States,2/23/20,5.21
United States,2/24/20,5.21
United States,2/25/20,5.21
United States,2/26/20,5.21
United States,2/27/20,5.21
United States,2/28/20,5.21
United States,2/29/20,5.21
United States,3/1/20,5.21
United States,3/2/20,7.81
United States,3/3/20,7.81
United States,3/4/20,7.81
United States,3/5/20,7.81
United States,3/6/20,7.81
United States,3/7/20,7.81
United States,3/8/20,7.81
United States,3/9/20,7.81
United States,3/10/20,7.81
United States,3/11/20,7.81
United States,3/12/20,9.90
United States,3/13/20,14.06
United States,3/14/20,14.06
United States,3/15/20,17.19
United States,3/16/20,26.56
United States,3/17/20,26.56
United States,3/18/20,26.56
United States,3/19/20,26.56
United States,3/20/20,26.56
United States,3/21/20,26.56
United States,3/22/20,26.56
United States,3/23/20,26.56
United States,3/24/20,26.56
United States,3/25/20,26.56
United States,3/26/20,28.65
United States,3/27/20,36.46
United States,3/28/20,36.46
United States,3/29/20,36.46
United States,3/30/20,36.46
United States,3/31/20,36.46
United States,4/1/20,36.46
United States,4/2/20,36.46
United States,4/3/20,38.54
United States,4/4/20,40.10
United States,4/5/20,40.10
United States,4/6/20,40.10
United States,4/7/20,40.10
United States,4/8/20,40.10
United States,4/9/20,40.10
United States,4/10/20,40.10
United States,4/11/20,40.10
United States,4/12/20,40.10
United States,4/13/20,40.10
United States,4/14/20,40.10
United States,4/15/20,40.10
United States,4/16/20,40.10
United States,4/17/20,40.10
United States,4/18/20,40.10
United States,4/19/20,40.10
United States,4/20/20,40.10
United States,4/21/20,40.10
United States,4/22/20,40.10
United States,4/23/20,40.10
United States,4/24/20,40.10
United States,4/25/20,40.10
United States,4/26/20,40.10
