year,age,population
2020,< 1 year,4128810.00
2020,1-4 years,16438858.00
2020,5-9 years,20274054.00
2020,10-14 years,20734825.00
2020,15-19 years,21047799.00
2020,20-24 years,22059078.00
2020,25-29 years,23722107.00
2020,30-34 years,23167829.00
2020,35-39 years,22059714.00
2020,40-44 years,20568056.00
2020,45-49 years,20204066.00
2020,50-54 years,20637870.00
2020,55-59 years,21878589.00
2020,60-64 years ,21140776.00
2020,65-69 years,18193559.00
2020,70-74 years,14881615.00
2020,75-79 years,10112489.00
2020,80-84 years,6526834.00
2020,85+ years,6726530.00
