region,age,population
Alabama,0-4 years,294601
Alabama,5-9 years,300248
Alabama,10-14 years,306484
Alabama,15-19 years,309673
Alabama,20-24 years,283101
Alabama,25-29 years,279459
Alabama,30-34 years,281536
Alabama,35-39 years,289589
Alabama,40-44 years,297345
Alabama,45-49 years,299317
Alabama,50-54 years,297827
Alabama,55-59 years,325749
Alabama,60-64 years ,321379
Alabama,65-69 years,275108
Alabama,70-74 years,221509
Alabama,75-79 years,146683
Alabama,80-84 years,95596
Alabama,85+ years,103711
Alaska,0-4 years,66669
Alaska,5-9 years,65990
Alaska,10-14 years,56852
Alaska,15-19 years,48668
Alaska,20-24 years,50618
Alaska,25-29 years,59802
Alaska,30-34 years,65942
Alaska,35-39 years,58834
Alaska,40-44 years,41277
Alaska,45-49 years,39067
Alaska,50-54 years,39779
Alaska,55-59 years,43342
Alaska,60-64 years ,41193
Alaska,65-69 years,35366
Alaska,70-74 years,26050
Alaska,75-79 years,16039
Alaska,80-84 years,9209
Alaska,85+ years,9724
Arizona,0-4 years,630601
Arizona,5-9 years,599004
Arizona,10-14 years,566739
Arizona,15-19 years,551551
Arizona,20-24 years,518310
Arizona,25-29 years,532057
Arizona,30-34 years,520411
Arizona,35-39 years,484609
Arizona,40-44 years,462724
Arizona,45-49 years,472670
Arizona,50-54 years,484347
Arizona,55-59 years,540803
Arizona,60-64 years ,572000
Arizona,65-69 years,517387
Arizona,70-74 years,413639
Arizona,75-79 years,266545
Arizona,80-84 years,157852
Arizona,85+ years,165199
Arkansas,0-4 years,201970
Arkansas,5-9 years,203460
Arkansas,10-14 years,207306
Arkansas,15-19 years,205031
Arkansas,20-24 years,185737
Arkansas,25-29 years,178659
Arkansas,30-34 years,180776
Arkansas,35-39 years,191138
Arkansas,40-44 years,189333
Arkansas,45-49 years,186860
Arkansas,50-54 years,186277
Arkansas,55-59 years,208558
Arkansas,60-64 years ,204086
Arkansas,65-69 years,174655
Arkansas,70-74 years,140081
Arkansas,75-79 years,93516
Arkansas,80-84 years,58047
Arkansas,85+ years,64729
California,0-4 years,3133965
California,5-9 years,2962253
California,10-14 years,2740613
California,15-19 years,2637692
California,20-24 years,2731403
California,25-29 years,3246481
California,30-34 years,3221346
California,35-39 years,2899955
California,40-44 years,2535872
California,45-49 years,2475573
California,50-54 years,2522977
California,55-59 years,2550107
California,60-64 years ,2349380
California,65-69 years,1976915
California,70-74 years,1606549
California,75-79 years,1072886
California,80-84 years,706272
California,85+ years,836504
Colorado,0-4 years,387617
Colorado,5-9 years,374214
Colorado,10-14 years,354829
Colorado,15-19 years,356206
Colorado,20-24 years,348671
Colorado,25-29 years,366054
Colorado,30-34 years,375798
Colorado,35-39 years,362533
Colorado,40-44 years,337217
Colorado,45-49 years,332145
Colorado,50-54 years,314505
Colorado,55-59 years,317178
Colorado,60-64 years ,300997
Colorado,65-69 years,253427
Colorado,70-74 years,197011
Colorado,75-79 years,124550
Colorado,80-84 years,81141
Colorado,85+ years,94774
Connecticut,0-4 years,234055
Connecticut,5-9 years,232741
Connecticut,10-14 years,222333
Connecticut,15-19 years,210775
Connecticut,20-24 years,215023
Connecticut,25-29 years,239378
Connecticut,30-34 years,251483
Connecticut,35-39 years,245495
Connecticut,40-44 years,223581
Connecticut,45-49 years,219993
Connecticut,50-54 years,246912
Connecticut,55-59 years,259041
Connecticut,60-64 years ,232299
