Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)"
Alabama,2019,1,1/5/19,1077.00,993.00,30.00,198.00,22.00,60.00,21.00,63.00,14.00,21.00,27.00,261.00,53.00,0.00,0.00
Alabama,2019,2,1/12/19,1090.00,994.00,25.00,187.00,24.00,49.00,18.00,85.00,21.00,13.00,11.00,275.00,65.00,0.00,0.00
Alabama,2019,3,1/19/19,1114.00,1042.00,22.00,238.00,18.00,48.00,31.00,80.00,30.00,25.00,15.00,283.00,53.00,0.00,0.00
Alabama,2019,4,1/26/19,1063.00,994.00,21.00,165.00,22.00,50.00,22.00,113.00,14.00,25.00,23.00,279.00,56.00,0.00,0.00
Alabama,2019,5,2/2/19,1095.00,1026.00,18.00,199.00,19.00,52.00,19.00,80.00,20.00,24.00,21.00,290.00,50.00,0.00,0.00
Alabama,2019,6,2/9/19,1092.00,1005.00,18.00,182.00,25.00,56.00,28.00,76.00,27.00,22.00,28.00,278.00,59.00,0.00,0.00
Alabama,2019,7,2/16/19,1103.00,1017.00,27.00,214.00,25.00,51.00,27.00,78.00,17.00,22.00,20.00,262.00,56.00,0.00,0.00
Alabama,2019,8,2/23/19,1064.00,992.00,16.00,183.00,22.00,52.00,17.00,70.00,23.00,26.00,20.00,273.00,52.00,0.00,0.00
Alabama,2019,9,3/2/19,1050.00,966.00,25.00,164.00,30.00,52.00,28.00,65.00,11.00,23.00,15.00,283.00,56.00,0.00,0.00
Alabama,2019,10,3/9/19,1062.00,964.00,18.00,189.00,27.00,50.00,19.00,81.00,12.00,19.00,17.00,260.00,63.00,0.00,0.00
Alabama,2019,11,3/16/19,1090.00,1015.00,21.00,216.00,24.00,60.00,26.00,71.00,22.00,25.00,22.00,278.00,57.00,0.00,0.00
Alabama,2019,12,3/23/19,1012.00,938.00,21.00,176.00,23.00,48.00,22.00,70.00,15.00,24.00,22.00,259.00,62.00,0.00,0.00
Alabama,2019,13,3/30/19,1079.00,999.00,23.00,202.00,20.00,52.00,20.00,59.00,12.00,15.00,22.00,281.00,67.00,0.00,0.00
Alabama,2019,14,4/6/19,1044.00,960.00,12.00,202.00,20.00,43.00,18.00,77.00,22.00,15.00,22.00,248.00,64.00,0.00,0.00
